Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
"Costoletta (media di vitello, maiale e agnello), cotta in padella (senza aggiunta di grassi o sale)",Carne e frattaglie,per 100 g di parte edibile,932,223,12.0,4.6,5.3,1.2,81,0.0,0.0,0.0,0.0,28.8,0.1,0.0,59.3,4,4,4,1,1,0.72,0.21,0.64,0.98,0.0,2.9,1.0,0.0,1.3,390.0,54.0,94.0,7.0,26.0,230.0,0.6,1.4,2.1,0.0
"Costoletta (media di vitello, maiale e agnello), cruda","Carne e frattaglie/Maiale;Carne e frattaglie/Vitello;Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,740,177,10.2,3.9,4.5,1.0,57,0.0,0.0,0.0,0.0,21.3,0.1,0.0,68.5,3,3,3,1,1,0.73,0.16,0.68,0.9,0.0,2.7,0.86,0.0,1.1,350.0,45.0,67.0,5.1,21.0,190.0,0.5,1.0,1.6,0.0
Cotechino,Prodotti carnei e insaccati/Insaccati crudi,per 100 g di parte edibile,1860,450,42.3,14.0,20.3,6.0,98,0.0,0.0,0.0,0.0,17.2,4.4,0.0,36.8,0,0,0,0,0,0.2,0.16,0.07,0.0,7.3,1.0,0.0,0.0,0.0,270.0,1740.0,0.0,30.0,0.0,110.0,2.1,0.0,4.1,0.0
Cotto,Prodotti carnei e insaccati/Insaccati cotti,per 100 g di parte edibile,392,93,3.1,1.2,1.5,0.2,35,0.6,0.6,0.0,0.0,15.7,2.3,0.0,77.0,0,0,0,0,0,0.47,0.15,0.27,0.0,4.2,0.0,0.7,46.3,0.0,380.0,910.0,1250.0,7.5,18.0,240.0,0.7,0.0,2.1,7.4
"Cozze, crude",Pesce/Frutti di mare e crostacei,per 100 g di parte edibile,357,85,2.7,0.5,0.6,0.6,108,3.4,0.0,0.0,0.0,11.7,0.7,0.0,82.1,84,84,84,0,0,0.12,0.16,0.08,8.0,1.6,37.0,0.29,0.0,0.0,320.0,290.0,460.0,88.0,36.0,240.0,5.8,130.0,1.6,0.0
"Cracker, salatini, salatini da aperitivo",Snack salati/Bastonicini salati e brezel,per 100 g di parte edibile,1890,449,15.9,6.0,6.8,2.4,0,66.3,0.0,66.3,2.1,9.2,1.5,0.0,6.5,0,0,0,0,0,0.22,0.05,0.12,0.0,1.65,21.3,0.29,0.0,0.0,120.0,590.0,810.0,110.0,24.0,110.0,1.6,13.0,0.7,0.0
"Crauti, sott’aceto",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,80,19,0.3,0.1,0.0,0.2,0,1.7,0.0,0.0,2.2,1.3,1.4,0.0,91.4,2,1,0,11,8,0.03,0.05,0.17,0.0,0.2,12.0,0.2,17.0,0.0,220.0,550.0,1160.0,36.0,11.0,30.0,0.5,3.1,0.3,0.0
"Crema alla vaniglia, fatta in casa, cotta",Dolciumi/Creme e budini,per 100 g di parte edibile,458,109,4.6,2.3,1.3,0.4,62,12.7,11.6,1.1,0.0,4.3,0.1,0.0,78.3,54,53,51,14,14,0.03,0.19,0.03,0.39,0.08,10.9,0.5,0.5,0.4,140.0,52.0,100.0,100.0,9.8,99.0,0.3,13.0,0.5,0.0
Crema da spalmare alle nocciole e cioccolato,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,per 100 g di parte edibile,2300,551,33.0,12.7,15.4,3.6,0,55.9,54.5,0.5,2.9,6.0,0.1,0.0,2.7,1,1,0,4,4,0.09,0.2,0.09,0.18,0.39,13.5,0.54,0.4,0.0,320.0,46.0,84.0,130.0,50.0,160.0,1.2,3.8,1.0,0.0
"Crema, al cioccolato",Dolciumi/Creme e budini,per 100 g di parte edibile,515,122,3.0,1.5,0.9,0.2,110,20.0,18.7,1.3,0.5,3.6,0.2,0.0,72.1,28,26,25,15,15,0.04,0.21,0.05,0.1,0.3,0.0,0.5,0.0,0.1,230.0,65.0,150.0,150.0,14.0,100.0,0.9,7.0,0.6,0.0
"Crêpes ai funghi prataiolo, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,578,139,9.0,4.8,2.2,0.7,68,7.9,1.7,5.7,1.6,5.9,0.4,0.0,76.5,80,76,71,51,51,0.09,0.28,0.09,0.21,2.3,19.3,1.53,2.3,1.7,330.0,140.0,260.0,45.0,15.0,130.0,1.1,20.0,0.7,0.0
"Crêpes al formaggio Camembert, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,1030,247,15.5,8.2,4.0,1.2,142,14.9,2.3,12.5,0.6,11.9,0.8,0.0,57.2,132,127,121,63,63,0.07,0.23,0.1,0.84,0.36,35.5,0.99,0.5,1.0,170.0,320.0,450.0,150.0,19.0,180.0,0.8,21.0,1.2,0.0
"Crêpes al lardo, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,1050,253,16.3,7.4,5.6,1.4,137,15.0,2.4,12.5,0.6,11.3,0.9,0.0,57.0,82,80,79,21,21,0.21,0.21,0.11,0.52,1.01,18.7,0.95,5.8,1.0,210.0,370.0,560.0,74.0,18.0,160.0,0.9,16.0,1.2,10.0
"Crêpes al naturale, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,977,234,13.2,6.6,3.6,1.2,161,19.0,2.9,15.9,0.7,9.4,0.4,0.0,57.8,103,101,99,27,27,0.09,0.23,0.08,0.57,0.15,23.1,1.05,0.6,1.2,190.0,160.0,250.0,92.0,18.0,160.0,1.0,21.0,1.0,10.0
"Crêpes al prosciutto, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,807,193,9.7,4.7,2.8,0.9,124,13.2,2.2,10.9,0.5,12.9,1.0,0.0,63.9,72,70,69,18,18,0.33,0.22,0.18,0.42,2.16,16.4,0.94,19.7,0.8,270.0,410.0,560.0,68.0,20.0,210.0,0.9,15.0,1.3,9.4
"Crêpes al zucchero con cannella, preparati",Cibi/Altri cibi dolci,per 100 g di parte edibile,1070,254,11.5,5.7,3.1,1.1,141,29.0,14.9,14.0,0.7,8.3,0.3,0.0,50.7,90,88,87,23,23,0.08,0.2,0.07,0.5,0.14,20.3,0.92,0.5,1.0,170.0,140.0,220.0,83.0,16.0,140.0,1.0,18.0,0.8,8.8
"Crêpes alla Nutella, preparati",Cibi/Altri cibi dolci,per 100 g di parte edibile,1580,378,22.2,9.3,9.0,2.3,88,35.8,26.4,8.9,1.7,7.9,0.3,0.0,32.7,57,55,54,16,16,0.09,0.22,0.09,0.39,0.26,18.8,0.82,0.5,0.6,250.0,110.0,170.0,110.0,33.0,160.0,1.1,13.0,1.0,0.0
"Crêpes alla verdura, preparati",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,691,165,9.3,4.0,3.1,0.9,95,13.7,4.0,9.5,1.6,6.0,0.2,0.0,69.5,201,129,58,855,855,0.08,0.15,0.15,0.34,0.36,32.8,0.7,28.3,0.7,210.0,97.0,160.0,63.0,16.0,100.0,0.8,14.0,0.7,0.0
"Crescione, crudo",Verdure/Verdure fresche,per 100 g di parte edibile,71,17,0.2,0.1,0.0,0.1,0,0.3,0.3,0.0,2.6,2.2,0.1,0.0,93.5,421,211,0,2527,2527,0.09,0.12,0.18,0.0,0.4,173.0,0.18,36.3,0.0,300.0,42.0,110.0,160.0,20.0,53.0,1.3,2.0,0.2,0.0
Creste di gallo all'anice,Dolciumi/Biscotti,per 100 g di parte edibile,1550,366,2.9,0.7,1.1,0.7,69,75.3,40.5,34.4,2.0,8.6,0.2,0.0,11.6,18,18,18,0,0,0.08,0.06,0.04,0.26,0.19,9.0,0.49,0.0,0.5,160.0,63.0,110.0,32.0,14.0,82.0,1.8,8.2,0.6,5.8
Croque Monsieur,Cibi/Sandwich,per 100 g di parte edibile,1090,260,9.4,4.4,2.9,1.1,31,26.6,2.6,23.7,1.8,16.4,2.3,0.0,46.1,70,67,65,32,32,0.33,0.15,0.21,0.34,2.16,15.5,0.51,16.2,0.2,240.0,920.0,1110.0,180.0,39.0,370.0,1.2,12.0,2.2,0.0
"Crostaceo (media), crudi",Pesce/Frutti di mare e crostacei,per 100 g di parte edibile,316,75,1.0,0.1,0.2,0.3,123,1.0,0.0,0.4,0.0,15.5,0.7,0.0,82.6,1,1,1,0,0,0.14,0.05,0.15,0.45,3.84,15.5,0.75,2.0,0.0,210.0,270.0,0.0,30.0,34.0,190.0,1.2,170.0,2.7,0.0
"Crostone al formaggio, preparato",Cibi/Altri cibi salati/saporiti,per 100 g di parte edibile,1140,272,12.1,6.8,2.9,1.0,73,26.0,1.0,24.7,2.3,13.8,1.4,0.0,46.2,103,99,96,42,42,0.11,0.18,0.07,0.58,0.67,12.0,0.52,0.1,0.6,150.0,560.0,940.0,310.0,34.0,290.0,1.2,16.0,1.9,0.0
Crusca d'avena,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",per 100 g di parte edibile,1560,371,7.0,1.3,2.4,2.8,0,50.8,1.5,49.3,15.4,18.5,0.0,0.0,6.6,0,0,0,0,0,0.85,0.22,0.36,0.0,0.93,52.0,1.25,0.0,0.0,570.0,4.0,61.0,58.0,240.0,730.0,5.4,0.8,3.1,0.0
Crusca di frumento,"Pane, fiocchi e cereali per la prima colazione/Fiocchi, crusca e germi",per 100 g di parte edibile,1090,264,4.7,0.8,0.8,2.3,0,17.7,1.9,13.4,45.1,15.2,0.0,0.0,11.5,1,0,0,6,6,0.83,0.51,0.54,0.0,18.0,195.0,2.25,0.0,0.0,1340.0,2.0,150.0,67.0,480.0,1140.0,16.0,2.4,9.2,0.0
"Datteri, secchi",Frutta/Frutta secca,per 100 g di parte edibile,1220,289,0.6,0.3,0.3,0.0,0,64.7,64.7,0.0,7.5,2.4,0.0,0.0,22.9,2,1,0,10,10,0.06,0.06,0.12,0.0,1.36,18.4,0.6,0.2,0.0,730.0,11.0,61.0,68.0,55.0,68.0,2.2,1.0,0.4,2.7
Discoletto (Frollini alla marmellata),Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,2090,499,25.6,15.1,5.9,1.4,67,60.3,30.9,29.1,1.9,5.8,0.1,0.0,6.8,223,214,205,109,109,0.07,0.04,0.07,0.01,0.35,3.6,0.17,1.0,0.4,110.0,34.0,59.0,14.0,16.0,60.0,1.0,1.0,0.6,1.6
Dolcetti (Maddalena) (con burro),Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1920,460,24.8,13.9,6.2,1.7,159,51.3,27.8,23.2,1.1,7.3,0.6,0.0,15.8,172,169,166,38,38,0.06,0.07,0.03,0.36,0.11,10.9,0.59,0.0,1.1,99.0,240.0,370.0,16.0,8.0,75.0,0.7,11.0,0.6,7.1
Dolcetti (Maddalena) (con olio vegetale),Dolciumi/Altre pasticceri dolci,per 100 g di parte edibile,1820,434,20.0,2.5,7.8,8.3,97,55.1,27.8,27.0,1.2,7.9,0.6,0.0,16.2,25,25,25,1,1,0.07,0.07,0.03,0.36,0.13,11.2,0.6,0.0,0.8,110.0,240.0,370.0,16.0,8.7,78.0,0.7,11.0,0.5,7.2
"Doppia panna, pastorizzata",Grassi e oli/Panna;Latte e prodotti di latte/Panna e burro,per 100 g di parte edibile,1930,468,50.0,30.0,11.7,2.3,147,2.7,2.7,0.0,0.0,1.9,0.1,0.0,46.9,462,443,425,220,220,0.02,0.19,0.01,0.6,0.0,7.0,0.23,1.0,0.3,65.0,22.0,36.0,49.0,5.0,52.0,0.1,35.0,0.2,0.0
Dulce de Leche,Dolciumi/Confettura e prodotti dolci da spalmare sul pane,per 100 g di parte edibile,1260,299,7.3,4.4,1.7,0.3,28,52.6,52.6,0.0,0.0,5.7,0.2,0.0,34.2,84,81,78,34,34,0.03,0.37,0.04,0.27,0.19,5.0,0.55,1.3,0.1,280.0,69.0,170.0,210.0,18.0,160.0,0.1,17.0,0.6,1.9
"Energy drink, con zucchero",Bevande analcoliche/Bevande zuccherate,per 100 ml,185,44,0.0,0.0,0.0,0.0,0,10.9,10.8,0.0,0.0,0.0,0.2,0.0,88.1,0,0,0,0,0,0.0,0.43,1.42,1.63,7.54,0.0,1.55,0.0,0.0,3.0,63.0,94.0,4.0,1.0,3.0,0.0,0.0,0.0,0.1
"Erba cipollina, fresca",Verdure/Erbe aromatiche,per 100 g di parte edibile,124,30,0.6,0.1,0.1,0.2,0,1.9,1.9,0.0,2.3,3.0,0.0,0.0,91.3,435,218,0,2612,2612,0.08,0.11,0.13,0.0,0.7,130.0,0.3,60.0,0.0,280.0,3.0,74.0,86.0,40.0,54.0,1.5,4.2,0.5,0.0
"Espresso, con cremino, non zuccherato",Bevande analcoliche/Caffè,per 100 g di parte edibile,116,28,2.5,1.5,0.6,0.1,8,0.8,0.7,0.0,0.1,0.5,0.0,0.0,96.1,25,24,23,13,13,0.0,0.02,0.0,0.08,0.13,0.5,0.07,0.2,0.1,45.0,14.0,13.0,23.0,4.1,17.0,0.0,1.9,0.0,0.0
"Fagioli di soia, secchi","Prodotti a base di cereali, legumi e patate/Legumi",per 100 g di parte edibile,1660,399,18.3,2.4,3.7,10.7,0,8.7,6.8,0.6,22.0,38.2,0.0,0.0,8.4,63,32,0,380,380,1.03,0.46,1.0,0.0,2.7,250.0,1.7,34.0,0.0,1800.0,4.7,7.0,200.0,220.0,550.0,6.6,6.3,4.2,0.0
"Fagiolini verdi secchi, messi a bagno, cotti al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,334,79,0.5,0.1,0.0,0.3,0,10.5,5.6,5.0,6.3,5.1,0.0,0.0,77.6,57,29,0,343,343,0.11,0.18,0.33,0.0,1.03,46.5,0.55,16.9,0.0,630.0,5.9,37.0,140.0,57.0,99.0,1.8,6.3,0.6,0.0
"Fagiolini verdi, al vapore (senza agigunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,141,34,0.2,0.1,0.0,0.1,0,4.4,3.4,0.8,3.2,2.0,0.0,0.0,90.0,58,29,0,350,350,0.11,0.09,0.08,0.0,0.7,35.1,0.12,8.4,0.0,240.0,3.6,14.0,54.0,24.0,40.0,0.9,2.6,0.4,1.0
"Fagiolini verdi, secchi",Verdure/Verdure secche,per 100 g di parte edibile,1340,318,2.0,0.4,0.1,1.1,0,42.1,22.2,19.8,25.3,20.2,0.1,0.0,6.0,229,114,0,1371,1371,0.45,0.71,1.33,0.0,4.1,186.0,2.19,67.6,0.0,2510.0,21.0,140.0,540.0,230.0,400.0,7.2,25.0,2.5,0.0
"Fagiolino verde, crudo",Verdure/Verdure fresche,per 100 g di parte edibile,134,32,0.2,0.1,0.0,0.1,0,4.1,3.3,0.8,3.0,1.9,0.0,0.0,90.5,57,29,0,343,343,0.12,0.09,0.09,0.0,0.8,53.3,0.13,10.8,0.0,260.0,3.9,13.0,52.0,25.0,38.0,1.0,2.5,0.4,1.0
"Fagiolo comune (tutti tipi), seme mature, secco","Prodotti a base di cereali, legumi e patate/Legumi",per 100 g di parte edibile,1280,305,1.5,0.3,0.1,0.7,0,40.7,1.2,35.6,22.6,20.9,0.0,0.0,10.4,0,0,0,2,2,0.34,0.08,0.25,0.0,3.4,410.0,0.39,2.7,0.0,1510.0,1.3,47.0,130.0,160.0,440.0,6.3,1.1,3.2,0.0
"Fagiolo comuno (tutti tipi), seme mature, cotto (senza aggiunta di grassi e sale)","Prodotti a base di cereali, legumi e patate/Legumi",per 100 g di parte edibile,465,111,0.6,0.1,0.0,0.3,0,14.5,0.4,12.7,8.5,7.7,0.0,0.0,68.8,0,0,0,1,1,0.08,0.02,0.07,0.0,0.83,76.8,0.08,0.6,0.0,420.0,1.0,18.0,45.0,51.0,150.0,2.0,0.4,1.1,0.0
"Fagiolo di soia, cotto (senza aggiunta di grassi o sale)","Prodotti a base di cereali, legumi e patate/Legumi",per 100 g di parte edibile,652,157,7.3,1.0,1.5,4.3,0,3.3,2.6,0.2,8.8,15.0,0.0,0.0,66.9,25,13,0,152,152,0.27,0.14,0.28,0.0,0.7,50.0,0.37,8.2,0.0,540.0,2.0,3.4,72.0,75.0,200.0,2.2,2.5,1.5,0.0
