Nome,Categoria,Unità di riferimento,"Energia, kilojoules (kJ)","Energia, calorie (kcal)","Lipidi, totali (g)","Acidi grassi, saturi (g)","Acidi grassi, monoinsaturi (g)","Acidi grassi, polinsaturi (g)",Colesterolo (mg),"Glucidi, disponibili (g)",Zuccheri (g),Amido (g),Fibra alimentare (g),Proteine (g),Sale (NaCl) (g),Alcool (g),Acqua (g),"Attività di vitamina A, RE (µg-RE)","Attività di vitamina A, RAE (µg-RE)",Retinolo (µg),Attività di beta-carotene (µg-BCE),Beta-carotene (µg),Vitamina B1 (tiamina) (mg),Vitamina B2 (riboflavina) (mg),Vitamina B6 (piridossina) (mg),Vitamina B12 (cobalamina) (µg),Niacina (mg),Folati (µg),Acido pantotenico (mg),Vitamina C (acido ascorbico) (mg),Vitamina D (calciferolo) (µg),Potassio (K) (mg),Sodio (Na) (mg),Cloro (Cl) (mg),Calcio (Ca) (mg),Magnesio (Mg) (mg),Fosforo (P) (mg),Ferro (Fe) (mg),Iodio (I) (µg),Zinco (Zn)  (mg),Selenio (Se) (µg)
"Acciuga sott'olio, sgocciolata",Pesce/Pesci di mare,per 100 g di parte edibile,765,182,8.5,2.9,3.4,1.3,76,0.2,0.1,0.0,0.0,26.4,12.0,0.0,55.1,12,12,12,0,0,0.04,0.25,0.37,20.9,3.9,16.0,0.63,0.5,1.7,250.0,4970.0,0.0,290.0,230.0,280.0,2.7,30.0,1.7,0.0
Aceto,"Diversi/Sale, spezie e aromi",per 100 ml,93,22,0.0,0.0,0.0,0.0,0,0.7,0.3,0.0,0.0,0.1,0.0,0.1,93.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.7,0.1,7.0,7.7,12.0,0.2,5.0,0.2,0.0
Aceto balsamico,"Diversi/Sale, spezie e aromi",per 100 g di parte edibile,544,128,0.6,0.0,0.0,0.0,0,25.8,19.1,0.0,0.5,0.7,0.1,0.0,70.3,1,0,0,5,5,0.02,0.01,1.71,0.0,0.1,5.5,0.07,0.5,0.3,160.0,27.0,20.0,18.0,12.0,24.0,1.0,20.0,0.1,20.0
Acqua potabile (valori medi in Svizzera),Bevande analcoliche/Acqua potabile,per 100 ml,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
"Acquavite 40 % vol (Vodka, Gin)",Bevande alcoliche/Spiritosi,per 100 ml,920,222,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,63.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,2.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0
Acquavite di canna da zucchero (p.es. Rum),Bevande alcoliche/Spiritosi,per 100 ml,920,222,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,63.2,0,0,0,0,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.0,0.0,0.0,0.0,4.8,0.1,0.0,0.1,0.0
"Acquavite di cereali, 40% vol (p.es. Whisky)",Bevande alcoliche/Spiritosi,per 100 ml,972,234,0.0,0.0,0.0,0.0,0,0.1,0.1,0.0,0.0,0.0,0.0,33.4,61.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.0,0.0,1.9,1.0,4.8,0.0,0.0,0.0,0.0
Acquavite di ciliegie (Kirsch),Bevande alcoliche/Spiritosi,per 100 ml,964,233,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,61.7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0
"Acquavite di vino (p.es. Cognac, brandy)",Bevande alcoliche/Spiritosi,per 100 ml,944,228,0.0,0.0,0.0,0.0,0,1.9,1.9,0.0,0.0,0.0,0.0,31.4,61.6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,2.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Affettati (media),Prodotti carnei e insaccati/Salsicce scottate,per 100 g di parte edibile,1140,276,24.2,9.1,11.3,2.3,59,0.7,0.7,0.0,0.0,13.9,2.0,0.0,61.2,3,3,3,2,2,0.29,0.13,0.15,0.91,2.96,1.9,0.42,26.8,0.5,120.0,790.0,1110.0,8.1,12.0,160.0,0.8,0.9,1.5,0.0
Agar Agar,Diversi/Gelificanti e leganti,per 100 g di parte edibile,641,160,0.2,0.0,0.0,0.0,0,0.0,0.0,0.0,74.1,2.4,0.3,0.0,20.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,130.0,0.0,660.0,100.0,34.0,4.5,0.0,1.5,0.0
"Aglio, crudo",Verdure/Verdure fresche,per 100 g di parte edibile,578,137,0.5,0.1,0.0,0.3,0,24.5,2.4,22.1,3.0,7.0,0.0,0.0,63.7,0,0,0,0,0,0.2,0.1,1.24,0.0,0.7,3.0,0.6,30.0,0.0,450.0,10.0,30.0,38.0,21.0,140.0,1.4,2.7,0.6,0.0
"Agnello (media, senza interiora e cotoletta), crudo","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,564,134,5.8,3.0,2.7,0.6,67,0.0,0.0,0.0,0.0,20.5,0.1,0.0,73.7,7,7,6,4,4,0.17,0.1,0.38,3.26,3.86,10.5,0.77,0.0,3.8,310.0,58.0,77.0,6.3,22.0,190.0,1.7,0.7,3.3,0.0
"Agnello, carré, crudo (Australia, Nuova Zelanda)","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,652,156,8.3,4.3,3.5,0.9,68,0.0,0.0,0.0,0.0,20.3,0.2,0.0,67.6,9,9,9,5,5,0.18,0.06,0.61,3.61,1.2,6.0,0.57,0.0,2.9,300.0,63.0,79.0,7.5,24.0,180.0,1.8,0.9,2.2,0.0
"Agnello, cosciotto (Svizzera, Nuova Zelanda), crudo ","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,647,155,8.2,4.4,3.7,0.9,65,0.0,0.0,0.0,0.0,20.2,0.2,0.0,69.1,9,9,9,5,5,0.18,0.06,0.46,3.61,0.0,6.0,0.92,0.0,6.1,330.0,61.0,76.0,4.7,20.0,190.0,1.6,0.8,3.6,4.7
"Agnello, cosciotto, arrosto (senza aggiunta di grassi o sale)","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,849,203,9.8,5.2,4.5,1.1,97,0.0,0.0,0.0,0.0,28.6,0.2,0.0,61.6,11,11,10,6,6,0.16,0.07,0.41,3.77,0.0,7.2,1.1,0.0,7.2,390.0,77.0,110.0,6.3,25.0,240.0,2.3,1.2,5.4,7.0
"Agnello, costoletta, cruda","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,747,179,10.9,5.2,4.0,0.9,72,0.0,0.0,0.0,0.0,20.2,0.2,0.0,65.4,9,9,9,5,5,0.18,0.06,0.32,3.61,0.0,6.0,0.57,0.0,5.2,310.0,69.0,79.0,8.4,20.0,180.0,1.5,0.9,2.1,7.0
"Agnello, filetto, cotto in padella, cottura media (senza aggiunta di grassi o sale)","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,573,136,3.6,1.4,1.6,0.2,88,0.0,0.0,0.0,0.0,25.8,0.2,0.0,70.5,10,10,9,5,5,0.1,0.25,0.14,2.05,6.08,25.6,0.7,0.0,0.0,290.0,77.0,110.0,14.0,31.0,220.0,2.4,0.9,4.3,5.5
"Agnello, filetto, crudo","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,473,112,3.4,1.3,1.5,0.2,66,0.0,0.0,0.0,0.0,20.4,0.2,0.0,75.1,9,9,9,5,5,0.13,0.23,0.17,2.2,6.51,24.0,0.66,0.0,0.0,280.0,68.0,79.0,12.0,27.0,190.0,1.9,0.7,3.2,4.1
"Agnello, lombata, cruda (Australia, Nuova Zelanda)","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,493,117,3.3,1.9,1.9,0.4,72,0.0,0.0,0.0,0.0,21.8,0.1,0.0,73.0,9,9,9,5,5,0.18,0.06,0.51,3.61,0.0,6.0,0.92,0.0,2.9,330.0,44.0,79.0,3.8,23.0,200.0,1.9,0.8,2.3,8.7
"Agnello, spezzatino, crudo (Svizzera)","Carne e frattaglie/Agnello, pecora",per 100 g di parte edibile,644,154,8.4,4.3,3.7,1.0,66,0.0,0.0,0.0,0.0,19.6,0.2,0.0,69.9,0,0,0,0,0,0.18,0.06,0.36,3.61,1.2,6.0,0.57,0.0,6.1,310.0,60.0,75.0,4.6,18.0,170.0,1.3,0.7,4.3,0.0
"Agrumi (media), crudi",Frutta/Frutta fresca,per 100 g di parte edibile,175,41,0.3,0.0,0.0,0.0,0,8.0,7.4,0.1,2.1,0.8,0.0,0.0,88.9,27,14,0,163,123,0.08,0.03,0.05,0.0,0.31,18.2,0.18,45.2,0.0,160.0,0.9,4.9,32.0,12.0,26.0,0.2,1.0,0.1,0.5
"Albicocca, con edulcorante, in scatola, sgocciolata",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,171,40,0.1,0.0,0.1,0.0,0,8.2,6.1,0.0,1.4,0.9,0.0,0.0,89.4,154,77,0,925,925,0.02,0.02,0.05,0.0,0.34,3.2,0.16,1.6,0.0,180.0,0.0,1.1,16.0,7.6,20.0,0.2,0.6,0.1,0.1
"Albicocca, cruda",Frutta/Frutta fresca,per 100 g di parte edibile,185,44,0.1,0.0,0.1,0.0,0,9.0,6.7,0.0,1.7,0.8,0.0,0.0,87.1,384,192,0,2305,2243,0.02,0.02,0.06,0.0,0.38,5.6,0.18,3.6,0.0,260.0,0.0,1.0,15.0,8.4,22.0,0.2,0.5,0.1,0.1
"Albicocca, sciroppata, in scatola, sgocciolata",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,264,62,0.1,0.0,0.1,0.0,0,13.7,13.3,0.0,1.4,0.9,0.0,0.0,83.0,154,77,0,925,925,0.02,0.0,0.02,0.0,0.11,6.9,0.12,2.2,0.0,140.0,9.7,4.6,18.0,4.9,11.0,0.1,0.5,0.1,0.2
"Albicocche, cotte, sgocciolate (senza aggiunta di zucchero)",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,189,45,0.2,0.0,0.1,0.0,0,9.0,6.7,0.0,1.7,1.0,0.0,0.0,88.2,360,180,0,2161,2103,0.02,0.02,0.05,0.0,0.38,3.5,0.18,1.8,0.0,200.0,0.0,1.3,18.0,8.4,22.0,0.2,0.6,0.1,0.1
"Albicocche, secche",Frutta/Frutta secca,per 100 g di parte edibile,1010,239,0.5,0.2,0.1,0.2,0,59.1,34.3,0.4,8.3,2.9,0.0,0.0,24.7,421,210,0,2525,2525,0.01,0.04,0.15,0.0,2.69,8.9,0.58,0.2,0.0,1370.0,11.0,5.4,82.0,50.0,110.0,1.4,2.7,0.4,0.4
"Albume d'uovo, crudo",Uova,per 100 g di parte edibile,190,45,0.0,0.0,0.0,0.0,0,0.4,0.4,0.0,0.0,10.8,0.5,0.0,87.5,0,0,0,0,0,0.02,0.42,0.04,0.33,0.04,10.0,0.28,0.0,0.0,150.0,190.0,160.0,5.1,11.0,12.0,0.0,7.5,0.0,12.0
"Alghe, Nori, secche",Verdure/Verdure secche,per 100 g di parte edibile,1060,255,1.6,0.2,0.1,0.6,0,10.5,0.5,0.0,36.3,31.5,5.0,0.0,6.5,4167,2083,0,25000,25000,0.58,1.91,0.53,0.0,5.82,21.7,0.25,57.3,0.6,1730.0,1980.0,2970.0,320.0,490.0,520.0,37.0,5100.0,4.5,51.0
"Amaranto, seme, cotto (senza aggiunta di grassi e sale)","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",per 100 g di parte edibile,500,119,2.1,0.4,0.5,0.8,0,18.1,0.5,17.6,3.5,5.0,0.0,0.0,71.2,0,0,0,0,0,0.02,0.06,0.11,0.0,0.34,16.2,0.27,1.0,0.0,150.0,1.9,36.0,58.0,84.0,180.0,3.0,0.8,1.2,0.0
"Amaranto, seme, crudo","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali",per 100 g di parte edibile,1580,376,7.0,1.5,1.7,2.8,0,56.8,1.7,55.1,11.0,15.8,0.0,0.0,11.1,0,0,0,0,0,0.08,0.19,0.53,0.0,1.2,64.3,0.95,4.2,0.0,480.0,4.0,110.0,160.0,250.0,560.0,9.0,2.5,3.7,0.0
Amaretti (biscotti alle mandorle),Dolciumi/Biscotti,per 100 g di parte edibile,1950,464,13.0,1.0,7.8,2.8,0,76.7,76.4,0.1,2.6,8.8,0.1,0.0,0.0,0,0,0,0,0,0.04,0.31,0.04,0.07,0.48,15.0,0.17,0.1,0.0,220.0,42.0,47.0,69.0,62.0,130.0,0.9,1.7,0.8,3.2
Amaretto alle nocciole,Dolciumi/Biscotti,per 100 g di parte edibile,2260,544,37.0,2.6,29.0,3.8,0,37.5,33.0,0.2,6.0,12.2,0.2,0.0,8.8,0,0,0,0,0,0.29,0.1,0.32,0.06,0.83,48.6,1.04,1.2,0.0,480.0,85.0,110.0,100.0,100.0,200.0,2.3,5.5,1.8,2.6
Amido di frumento,"Prodotti a base di cereali, legumi e patate/Farine e amidi;Diversi/Gelificanti e leganti",per 100 g di parte edibile,1480,348,0.1,0.0,0.0,0.1,0,85.8,0.0,85.8,1.2,0.4,0.0,0.0,12.3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,16.0,2.0,5.0,0.0,4.0,20.0,0.0,0.0,0.1,0.0
Anacardi,"Noci, semi e frutti oleosi",per 100 g di parte edibile,2570,619,48.1,8.2,29.1,8.7,0,23.2,3.1,20.1,3.6,21.5,0.0,0.0,4.6,0,0,0,0,0,0.59,0.06,0.42,0.0,1.1,45.5,1.2,0.5,0.0,660.0,9.2,18.0,40.0,270.0,540.0,5.9,5.0,4.0,15.0
"Ananas, con edulcorante, in scatola, sgocciolata",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,179,42,0.1,0.0,0.0,0.0,0,9.4,8.4,0.0,1.0,0.5,0.0,0.0,86.4,8,4,0,49,37,0.04,0.01,0.05,0.0,0.16,4.7,0.1,22.6,0.0,73.0,0.6,19.0,13.0,8.8,4.8,0.1,1.4,0.1,0.1
"Ananas, crudo",Frutta/Frutta fresca,per 100 g di parte edibile,221,52,0.1,0.0,0.0,0.0,0,11.7,10.5,0.0,1.2,0.5,0.0,0.0,86.4,8,4,0,49,49,0.07,0.02,0.07,0.0,0.2,9.4,0.13,56.5,0.0,120.0,1.0,19.0,14.0,11.0,6.0,0.2,1.4,0.1,0.1
"Ananas, in succo d'ananas, in scatola, non sgocciolato",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,249,59,0.1,0.0,0.0,0.0,0,13.6,12.6,0.0,0.9,0.4,0.0,0.0,84.9,3,1,0,16,16,0.06,0.0,0.06,0.0,0.2,5.0,0.06,5.0,0.0,130.0,0.2,18.0,10.0,12.0,7.1,0.2,0.1,0.1,0.1
"Ananas, in succo d'ananas, in scatola, sgocciolato",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,255,60,0.1,0.0,0.0,0.0,0,13.6,12.8,0.0,1.4,0.5,0.0,0.0,84.5,4,2,0,24,24,0.06,0.0,0.08,0.0,0.2,5.0,0.07,5.0,0.0,130.0,0.0,18.0,11.0,12.0,7.8,0.2,0.3,0.1,0.1
"Ananas, sciroppato, in scatola, sgocciolata",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,295,70,0.1,0.0,0.0,0.0,0,15.9,15.9,0.0,1.6,0.5,0.0,0.0,82.0,3,2,0,20,20,0.03,0.0,0.05,0.0,0.2,5.0,0.04,5.2,0.0,95.0,1.9,13.0,6.4,11.0,4.8,0.1,0.3,0.1,0.1
"Anguria, cruda",Frutta/Frutta fresca,per 100 g di parte edibile,158,37,0.0,0.0,0.0,0.0,0,8.3,7.9,0.0,0.5,0.7,0.0,0.0,91.0,69,35,0,416,416,0.03,0.02,0.06,0.0,0.26,20.4,0.18,5.8,0.0,100.0,0.0,8.3,6.0,11.0,9.7,0.2,10.0,0.1,0.4
Arachidi,"Noci, semi e frutti oleosi",per 100 g di parte edibile,2580,623,49.1,8.4,25.5,12.9,0,14.8,5.9,5.0,8.6,26.1,0.0,0.0,2.2,0,0,0,0,0,0.6,0.43,0.02,0.0,12.0,101.7,2.48,0.0,0.0,710.0,18.0,7.0,65.0,160.0,380.0,1.6,13.0,4.0,30.0
"Arachidi, tostate, salate",Snack salati/Noci e semi salati,per 100 g di parte edibile,2610,631,50.0,8.6,24.7,12.4,0,15.0,4.2,8.9,8.0,26.2,1.3,0.0,1.2,0,0,0,0,0,0.14,0.07,0.43,0.0,12.4,66.6,1.17,0.5,0.0,530.0,530.0,300.0,47.0,170.0,240.0,1.2,5.7,2.9,4.8
"Arancia, cruda",Frutta/Frutta fresca,per 100 g di parte edibile,192,45,0.2,0.0,0.0,0.0,0,8.0,7.6,0.4,2.7,0.8,0.0,0.0,87.3,26,13,0,154,72,0.09,0.03,0.05,0.0,0.35,18.8,0.18,50.9,0.0,180.0,0.0,4.0,45.0,15.0,38.0,0.3,1.0,0.2,0.5
"Asparago, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,109,26,0.2,0.0,0.0,0.0,0,3.1,3.0,0.1,1.6,2.1,0.0,0.0,93.0,23,12,0,141,133,0.1,0.12,0.06,0.0,0.88,45.8,0.16,11.2,0.0,190.0,1.4,57.0,15.0,10.0,46.0,0.3,6.7,0.4,1.0
"Asparago, crudo",Verdure/Verdure fresche,per 100 g di parte edibile,115,27,0.2,0.0,0.0,0.0,0,3.3,3.2,0.1,1.7,2.2,0.0,0.0,92.3,26,13,0,156,148,0.12,0.13,0.07,0.0,1.1,76.3,0.19,14.9,0.0,220.0,1.6,60.0,16.0,12.0,49.0,0.4,7.0,0.5,1.1
"Avocado, crudo","Verdure/Verdure fresche;Noci, semi e frutti oleosi",per 100 g di parte edibile,650,158,15.1,2.8,7.7,1.7,0,1.2,1.1,0.1,5.5,1.6,0.0,0.0,75.7,17,9,0,102,78,0.05,0.11,0.14,0.0,1.22,57.9,0.94,3.7,0.0,430.0,2.4,6.0,15.0,29.0,45.0,0.5,0.0,0.5,0.0
"Bacca di sambuco nero, cruda",Frutta/Frutta fresca,per 100 g di parte edibile,264,63,1.7,0.1,0.1,1.1,0,7.4,7.4,0.0,4.0,2.5,0.0,0.0,84.0,54,27,0,325,325,0.07,0.07,0.25,0.0,1.6,17.0,0.16,18.0,0.0,300.0,1.0,7.0,37.0,30.0,57.0,1.6,3.0,0.2,0.0
"Bacche (media), cotte (senza aggiunta di zucchero),",Frutta/Frutta cotta (incl. conserve),per 100 g di parte edibile,149,35,0.6,0.0,0.0,0.1,0,5.3,5.0,0.0,3.2,0.7,0.0,0.0,90.2,1,0,0,5,5,0.01,0.02,0.03,0.0,0.31,19.1,0.13,20.8,0.0,90.0,0.7,58.0,18.0,11.0,20.0,0.2,1.3,0.1,0.5
"Bacche (media), crude",Frutta/Frutta fresca,per 100 g di parte edibile,169,40,0.5,0.0,0.0,0.1,0,6.3,5.9,0.0,3.7,0.7,0.0,0.0,88.7,1,1,0,6,6,0.02,0.03,0.04,0.0,0.37,36.3,0.15,49.4,0.0,140.0,1.1,55.0,18.0,12.0,24.0,0.2,1.2,0.1,0.5
"Bami Goreng, preparato",Cibi/Cibi asiatici,per 100 g di parte edibile,548,130,2.4,0.3,1.3,0.5,44,13.1,1.3,11.3,0.9,13.5,1.0,0.0,70.1,44,27,11,196,196,0.12,0.08,0.14,0.05,3.6,4.6,0.32,11.6,0.3,190.0,400.0,620.0,9.3,18.0,120.0,0.7,1.6,0.7,0.0
"Banana, cruda",Frutta/Frutta fresca,per 100 g di parte edibile,378,89,0.1,0.0,0.0,0.0,0,19.7,15.6,3.8,2.7,1.1,0.0,0.0,75.8,14,7,0,84,54,0.05,0.03,0.25,0.0,0.6,25.6,0.23,11.9,0.0,320.0,0.0,80.0,5.1,28.0,29.0,0.2,3.0,0.1,0.5
"Banana, secca",Frutta/Frutta secca,per 100 g di parte edibile,1160,273,1.0,0.4,0.1,0.2,0,60.2,43.7,16.5,5.5,3.0,0.0,0.0,28.0,17,8,0,100,100,0.1,0.18,0.81,0.0,2.0,33.3,0.54,4.0,0.0,1150.0,8.0,300.0,20.0,90.0,75.0,1.3,8.1,0.6,0.0
"Barbabietola, al vapore (senza aggiunta di sale)",Verdure/Verdure cotte (incl. conserve),per 100 g di parte edibile,228,54,0.1,0.0,0.0,0.1,0,10.0,10.0,0.0,3.0,1.8,0.1,0.0,85.1,1,1,0,8,8,0.02,0.05,0.04,0.0,0.23,62.3,0.16,5.5,0.0,450.0,49.0,90.0,19.0,22.0,28.0,0.3,0.5,0.3,0.2
"Barbabietola, cruda",Verdure/Verdure fresche,per 100 g di parte edibile,192,46,0.1,0.0,0.0,0.1,0,8.4,8.4,0.0,2.5,1.5,0.1,0.0,85.1,1,1,0,7,7,0.02,0.04,0.04,0.0,0.23,83.0,0.15,5.5,0.0,430.0,49.0,76.0,16.0,21.0,23.0,0.3,0.4,0.3,0.2
"Barretta ai cereali, con copertura di cioccolato",Dolciumi/Barrette,per 100 g di parte edibile,1920,459,20.2,10.9,6.6,2.0,4,58.0,37.1,19.9,5.7,8.5,0.4,0.0,6.4,29,24,20,57,57,0.17,0.2,0.14,0.0,1.08,21.9,0.36,2.5,0.0,450.0,150.0,190.0,110.0,65.0,210.0,2.2,7.1,1.5,0.0
"Barretta ai cereali, senza copertura o ripieno",Dolciumi/Barrette,per 100 g di parte edibile,1750,416,12.8,5.4,4.5,2.2,0,64.2,32.1,31.4,6.0,7.9,0.4,0.0,8.4,8,4,0,49,49,0.18,0.07,0.17,0.0,1.41,23.3,0.4,1.7,0.0,260.0,180.0,280.0,28.0,58.0,170.0,2.1,1.7,1.3,0.0
"Basilico, fresco",Verdure/Erbe aromatiche,per 100 g di parte edibile,194,46,0.8,0.1,0.0,0.4,0,5.1,5.0,0.1,3.1,3.1,0.0,0.0,86.4,811,405,0,4865,4820,0.08,0.31,0.18,0.0,1.1,50.0,0.2,26.0,0.0,300.0,9.0,35.0,250.0,11.0,37.0,5.5,0.9,0.7,0.0
Bastoncini alle nocciole,Dolciumi/Biscotti,per 100 g di parte edibile,2360,567,36.6,12.5,17.7,3.1,140,47.0,22.6,22.3,3.7,10.5,0.1,0.0,3.3,182,176,171,68,68,0.19,0.08,0.2,0.29,0.46,29.5,0.89,0.5,0.8,280.0,56.0,98.0,61.0,55.0,180.0,1.9,11.0,1.5,5.6
Bastoncini di pasta sfoglia ,Snack salati/Prodotti di pasta sfoglia,per 100 g di parte edibile,2040,490,32.9,15.0,11.6,4.0,45,40.4,0.3,39.6,1.8,7.1,2.6,0.0,18.3,161,153,144,99,99,0.09,0.03,0.09,0.01,0.22,4.8,0.22,0.0,0.9,120.0,1040.0,1580.0,14.0,21.0,79.0,0.9,1.5,0.7,1.4
"Bastoncino di pesce (impanato e prefritto), cotto al forno (senza aggiunta di grasso)",Pesce/Pesci di mare,per 100 g di parte edibile,1040,248,12.2,0.9,7.1,3.5,53,17.4,0.1,17.2,1.0,16.8,0.6,0.0,52.9,2,2,2,1,1,0.06,0.04,0.13,0.9,1.35,7.8,0.26,0.0,0.8,290.0,240.0,700.0,12.0,20.0,150.0,0.4,100.0,0.6,0.0
"Bastoncino di pesce (impanato e prefritto), cotto in olio di colza HOLL",Pesce/Pesci di mare,per 100 g di parte edibile,1250,300,18.6,1.4,12.0,4.3,51,16.6,0.1,16.4,0.9,16.0,0.6,0.0,48.1,2,2,2,1,1,0.06,0.04,0.11,0.86,1.4,7.4,0.25,0.0,0.8,280.0,230.0,670.0,11.0,19.0,140.0,0.4,97.0,0.5,0.0
"Bastoncino di pesce, impanato e prefritto",Pesce/Pesci di mare,per 100 g di parte edibile,962,230,11.7,0.9,6.8,3.4,47,15.3,0.1,15.1,0.8,15.5,0.6,0.0,56.9,2,2,2,1,1,0.07,0.04,0.13,0.88,1.43,8.6,0.29,0.0,0.9,300.0,250.0,610.0,10.0,19.0,150.0,0.5,89.0,0.5,0.0
Berner Hobelkäse (rotoli di formaggio),Latte e prodotti di latte/Formaggio a pasta dura,per 100 g di parte edibile,2030,491,41.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30.0,1.7,0.0,21.9,0,0,0,0,0,0.0,0.56,0.0,0.83,0.0,0.0,0.43,0.0,0.8,0.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bevanda a base di avena, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,197,47,1.5,0.2,0.5,0.7,0,7.8,3.6,0.8,0.2,0.5,0.1,0.0,90.7,0,0,0,0,0,0.03,0.01,0.01,0.0,0.06,2.3,0.15,0.0,0.0,30.0,40.0,64.0,1.0,4.2,11.0,0.0,0.4,0.0,0.2
"Bevanda a base di avena, naturale, arricchita di calcio e vitamine",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,202,48,1.5,0.2,0.5,0.7,0,7.8,3.6,0.8,0.9,0.5,0.1,0.0,90.7,0,0,0,0,0,0.03,0.15,0.01,0.26,0.06,2.3,0.15,0.0,0.9,30.0,40.0,64.0,120.0,4.2,29.0,0.0,8.7,0.0,0.2
"Bevanda a base di cocco, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,92,22,1.0,0.8,0.0,0.0,0,2.8,1.9,0.9,0.1,0.4,0.1,0.0,95.7,1,0,0,5,0,0.0,0.0,0.0,0.0,0.1,0.5,0.03,0.0,0.0,72.0,34.0,68.0,2.7,5.9,3.9,0.1,0.6,0.0,0.4
"Bevanda a base di cocco, naturale, arricchita di calcio e vitamine",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,92,22,1.0,0.8,0.0,0.0,0,2.8,1.9,0.9,0.1,0.4,0.1,0.0,95.7,0,0,0,0,0,0.0,0.0,0.0,0.38,0.1,0.5,0.03,0.0,0.8,72.0,34.0,68.0,120.0,5.9,70.0,0.1,0.6,0.0,0.4
"Bevanda a base di mandorla, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,139,33,2.6,0.2,1.6,0.5,0,1.3,1.3,0.0,0.3,1.1,0.1,0.0,94.5,0,0,0,0,0,0.01,0.02,0.0,0.0,0.16,1.9,0.02,0.0,0.0,34.0,36.0,69.0,12.0,9.5,16.0,0.1,0.4,0.1,0.2
"Bevanda a base di mandorla, naturale, arricchita con calcio e vitamine",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,139,33,2.6,0.2,1.6,0.5,0,1.3,1.3,0.0,0.3,1.1,0.1,0.0,94.5,0,0,0,0,0,0.01,0.21,0.0,0.38,0.16,1.9,0.02,0.0,0.8,34.0,36.0,69.0,120.0,9.5,43.0,0.1,0.4,0.1,0.2
"Bevanda a base di riso, naturale",Latte e prodotti di latte/Prodotti sostituti del latte,per 100 ml,226,54,1.3,0.1,0.4,0.6,0,10.3,2.8,2.1,0.1,0.2,0.0,0.0,88.2,1,0,0,5,5,0.01,0.0,0.0,0.0,0.13,1.6,0.13,0.0,0.0,31.0,15.0,58.0,5.0,6.8,7.1,0.0,1.0,0.1,0.1
